TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
180.906666667,-209.591,21.9231,-29.7459,18.7317,-3.74865,13.01,-4.52786,15.0108,-0.326616,8.92296,-2.63283,3.48719,-5.58311,0.862058,-2.55246,3.82687,-6.54678,3.32101,-2.6528,1.47566,-2.0041
180.929886621,-214.546,23.5052,-20.6523,9.60931,4.97288,10.787,1.84619,9.81276,1.16303,6.10533,-0.702874,-0.429571,-4.57841,1.65308,-1.91809,4.23652,-1.70652,2.86123,-0.241013,0.741389,-0.16073
180.953106576,-193.624,-0.120893,-8.05481,3.87157,7.25718,6.62029,-0.191658,7.23803,-0.891416,6.15323,-3.56363,-1.05134,-5.7429,-0.99883,-3.13281,3.2248,-0.0817597,0.764363,0.323395,-0.176621,-3.62675
180.976326531,-184.56,-0.573342,-7.75496,0.618364,5.89465,3.31217,-3.49932,7.28638,0.426593,8.13719,-1.64841,1.29664,-3.73489,2.03687,-1.43766,3.28376,-1.16983,2.08729,-1.44159,0.588762,-2.24627
180.999546485,-189.963,0.685651,-5.43673,-1.41012,5.88526,9.66059,-0.565913,9.46203,1.90481,7.97802,-2.18139,1.85192,-1.35613,2.97963,-1.01432,6.39705,1.18252,1.37466,0.558399,1.22091,-0.748897
181.022766440,-199.622,3.47181,-6.60781,-1.68911,8.9677,8.10533,-0.659705,7.65986,2.12202,5.80259,-1.5958,2.15457,-4.07773,-0.281706,-2.17202,4.73142,-0.613543,-0.302995,-1.81442,2.42936,-0.213776
181.045986395,-204.497,10.7479,-1.92422,2.37564,10.5987,10.2442,1.71401,8.80227,0.735821,4.9336,-5.61714,1.20888,-5.12256,0.486869,-2.43614,2.9478,-1.06709,0.15271,-3.8144,1.66093,-2.10073
181.069206349,-206.042,10.998,-4.95441,3.23238,11.4325,9.04238,-1.06638,8.65646,2.37952,5.33784,-3.36172,-0.652674,-4.22477,2.01058,-1.65193,1.69009,-1.87369,0.673097,-0.752217,0.21376,-3.26923
181.092426304,-184.17,6.35989,-21.6068,8.74326,-0.90367,7.87855,-1.1609,9.16864,0.445888,7.19681,-3.38051,0.511174,-3.51153,1.80511,-3.91222,1.97139,-1.75593,0.978985,-3.33129,-0.205149,-6.37538
181.115646259,-209.739,10.6365,-16.8018,7.55014,5.17524,6.36064,-0.597675,8.03519,1.88723,5.96664,-2.26169,0.0372843,-3.8895,0.2747,-3.35533,1.64436,-0.707855,3.95429,2.51993,2.93704,-1.90334
181.138866213,-212.451,22.5243,-15.8346,7.33862,9.05325,5.36089,-0.539015,7.15422,0.0113675,3.98024,-1.40702,0.785109,-4.938,0.340914,-4.21101,2.77978,-1.6341,1.77463,0.475488,0.135544,-3.78866
181.162086168,-223.224,23.8946,-14.1271,8.34943,10.4605,8.4433,3.10844,7.53024,0.583694,3.63406,-4.72567,-1.09074,-3.74056,-0.593145,-3.11947,1.16058,-4.22375,1.00695,-0.892859,1.60284,-2.95722
181.185306122,-231.661,30.1701,-15.8441,13.0835,6.75968,11.8637,-2.17442,10.0395,-3.47102,6.43514,-6.38667,1.89903,-7.37333,0.471114,-7.64609,2.21416,-4.55209,-0.292228,-2.4386,2.34963,-4.15522
181.208526077,-237.659,31.2628,-16.6294,10.3633,6.65503,10.0892,-3.3343,9.36524,-0.466185,5.83434,-3.86811,0.620459,-9.60849,-1.54023,-5.67581,1.08468,-5.94373,1.54507,-1.42855,1.59558,-3.0561
181.231746032,-201.219,11.8719,-22.996,13.2804,2.48326,8.31887,0.790596,10.1756,1.71979,6.98162,-1.52962,0.408579,-3.53535,1.50291,-1.60639,2.50321,-2.32833,2.00044,-1.80357,0.474035,-3.49989
181.254965986,-205.462,15.727,-15.7699,2.00597,7.07231,5.89744,2.38903,10.7299,2.26375,6.70005,-1.85795,3.31717,-1.81625,3.96588,-1.42035,1.65094,-4.66708,-0.647818,-1.19743,2.55119,-2.38636
181.278185941,-214.514,17.8287,-16.2751,2.25987,7.12956,6.33747,0.437114,9.54576,2.50029,6.0307,-2.21427,0.797429,-4.61466,0.825424,-3.31574,0.593665,-5.73454,-0.780922,-2.75583,0.292144,-2.022
181.301405896,-223.517,21.0052,-19.0306,3.81089,5.69709,6.40771,1.01646,9.67513,-0.00377868,5.62065,-3.88807,-0.761348,-4.80896,1.01674,-2.96162,2.77322,-2.44606,0.524051,-2.43993,0.138737,-3.7539
181.324625850,-233.63,26.3967,-15.5164,8.4074,6.29555,6.65147,1.81935,9.32764,0.44227,8.0553,-4.36705,-0.665053,-6.31725,1.79475,-3.26134,2.82776,-1.5208,1.78837,-3.03406,-0.507037,-2.95985
181.347845805,-187.29,1.8905,-21.3458,15.0677,-3.76917,15.7724,-3.7938,12.8603,-2.14398,8.92345,-5.65431,-0.117236,-3.83102,3.34102,-5.31174,3.40116,-2.18912,-0.834516,-0.619421,0.0426003,-3.54094
181.371065760,-212.793,25.1461,-26.0848,16.039,-2.67368,12.7724,-5.15875,13.9765,0.0539632,10.3462,-2.31865,1.89022,-2.88872,2.53629,-2.31806,4.97227,-2.51246,5.05574,-2.18239,3.07353,-3.52467
181.394285714,-223.601,27.8492,-27.5728,15.6131,-0.503311,13.7826,-2.79224,13.7888,1.30661,13.228,-0.0641176,5.22368,-3.73124,5.81071,-1.59048,5.79155,-5.09434,2.56513,-1.6893,1.10838,-2.86543
181.417505669,-227.539,28.4665,-26.6204,11.6978,1.57833,11.2628,-1.23658,10.7343,0.973791,6.25185,-2.13801,2.92697,-3.23964,2.542,-2.67038,4.02738,-3.42006,-0.0590199,-3.05413,1.72723,-2.70958
181.440725624,-216.735,22.8641,-17.375,8.21195,1.85065,6.25479,-2.52012,6.13798,0.900174,1.18585,-0.928619,3.12688,0.123912,1.64622,2.63196,1.5965,-3.47634,-2.35772,-5.69748,0.530979,-4.16682
181.463945578,-205.708,16.0704,-7.26625,3.76572,2.38862,5.70614,-5.2544,9.73945,2.68979,10.9387,1.22759,6.19304,-3.53762,2.902,-4.60064,-0.314655,-4.01562,-2.26436,-3.57695,0.474959,-0.597362
181.487165533,-175.276,-1.5751,-13.2115,-2.05261,0.261652,1.90725,-1.01174,8.34199,5.08053,8.42663,-2.34348,1.97011,-2.75326,-0.125145,-4.50696,1.43162,-1.75531,-0.1114,0.031079,1.59193,-1.30771
181.510385488,-173.638,2.71921,-5.32927,-2.47277,1.64177,2.52673,-2.09193,12.779,5.61255,7.01987,-1.43601,2.31702,-3.42611,0.708649,0.221178,4.27545,-1.4141,0.349136,1.44793,2.99339,-1.32364
181.533605442,-183.286,3.44465,-3.77168,-4.92167,1.43424,2.05915,-1.36881,11.3909,3.98155,7.7899,-2.13663,0.290391,-5.53101,-2.64001,-3.75161,2.44525,-0.853993,0.339045,-1.92199,1.03999,-1.00894
181.556825397,-187.646,7.86884,-2.63016,0.499379,1.82981,0.237442,-7.10095,5.54803,2.94336,7.81771,-2.78612,2.4517,-1.9243,1.15495,-3.47376,0.999536,0.0262351,2.69943,-1.17386,0.0376005,-3.91715
181.580045351,-193.807,9.25803,-2.55023,-0.129996,-0.216017,1.70964,-4.43174,8.19356,3.68436,9.39317,-0.847655,3.33078,-5.10461,-1.29452,-5.0558,1.2122,-2.34549,1.05254,-3.30421,0.629089,-2.12655
181.603265306,-188.305,10.3113,-7.02715,0.168764,1.74113,-1.23241,-6.33271,5.54507,2.5165,9.49101,-2.93087,1.05178,-2.97456,3.91536,-0.541905,2.02477,-1.76991,0.366079,-1.21558,1.64692,-2.35845
181.626485261,-186.759,11.913,-13.7806,3.26044,2.00521,2.69905,-2.11402,5.48872,1.85677,8.1152,1.22815,3.81994,-2.63004,3.70115,-2.28503,0.0600922,-3.77416,1.33677,-1.70744,0.0126406,-1.47402
181.649705215,-199.2,17.0119,-12.9307,3.15298,2.10587,4.13336,-5.77357,6.47245,3.78588,7.31419,-2.8432,0.984888,-3.50576,3.35178,-2.27364,4.5611,0.578428,1.91583,-0.260362,-0.647008,-2.60985
