TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
104.582675737,0.152456,0.357204,0.25763,0.69711,0.955656,0,1.35693,0.958441,0.118366,0.207174,1.1857,0.797523
104.629115646,0.195355,0.0492395,0.27326,0.575747,0.988331,0.142615,1.2049,0.791767,0.0533157,0.274706,1.19945,1.33801
104.675555556,0.52945,0.26912,0.402496,0.0864879,1.07741,0.210272,1.05162,0.391497,0.470502,0.193837,1.19984,1.39009
104.721995465,0.12359,0.468374,0.12593,0,1.20245,0.296182,1.08165,0.596683,0.987074,0.144007,1.08078,1.40202
104.768435374,0.239039,0.212515,0.246173,0.527987,0.643952,0.699036,1.30542,0.698082,0.875261,0.104266,0.725294,1.4683
104.814875283,0.580633,0.0461774,0.499896,1.91504,0.0339247,0.600343,1.31793,0.697445,0.501125,0.12956,0.960648,0.760546
104.861315193,0.679683,0.023414,0.553892,2.19941,0.0513513,0.242551,1.21444,0.963377,0.48674,0.206706,1.49167,0.308058
104.907755102,0.210677,0.59041,0.241832,2.23067,0.0879735,0.0106609,1.4995,0.885724,0.317304,0.301476,1.93698,0.185186
104.954195011,0.235557,0.962714,0.0220243,2.02694,0.14216,0.0272853,1.88105,0.495113,0.0447334,0.22444,2.0887,0.203532
105.000634921,0.213457,1.15207,0.0584761,1.57114,0.212806,0.0615796,1.75565,0.617477,0.0445274,0.0651062,2.4271,0.333301
105.047074830,0.123575,1.43619,0.174888,1.48292,0.326949,0.143113,1.58041,0.704093,0.0443425,0.058224,2.41615,0.322503
105.093514739,0.0998165,1.53968,0.188347,1.44208,0.19612,0.0877837,1.44403,0.711821,0.117982,0.183287,2.19346,0.283023
105.139954649,0.107779,1.47817,0.164722,1.79263,0,0.0352496,1.49225,0.679194,0.0709523,0.203576,2.07676,0.175631
105.186394558,0.100924,1.33513,0.112253,1.85848,0.0141572,0.0310979,1.92171,0.603581,0,0.0352399,2.1502,0.161724
105.232834467,0.140911,1.28696,0,1.55009,0.140494,0.00936927,1.99503,0.420079,0.00535781,0.0243655,2.21166,0.221798
105.279274376,0.201345,1.50151,0.112747,1.02694,0.162312,0,1.80675,0.256578,0.0924604,0.11758,2.07624,0.0383662
105.325714286,0.0774595,1.42754,0.211265,1.14679,0.603902,0.161659,1.08016,0.406721,0.0675198,0.437306,1.24968,0.000502685
105.372154195,0.244587,0.793679,0.534671,0.896027,0.97157,0.264045,0.799597,0.585736,0.179602,0.521243,1.00969,0.37177
105.418594104,0.51398,0.805279,0.615756,0.774387,1.79428,0.14116,0.495452,0.397832,0.180232,0.309947,1.03465,0.594069
105.465034014,0.381858,1.05193,0.610023,0.782718,1.68204,0,0.792188,0.179019,0.100328,0.288,1.62401,0.489136
105.511473923,0.316911,0.759151,0.333774,0.755693,1.36601,0,1.25929,0.174817,0.0827651,0.198606,1.79831,0.296237
105.557913832,0.254244,0.305011,0.781292,0.696201,0.867567,0,1.60943,0.233291,0.071274,0.0732091,1.93892,0.253342
105.604353741,0.174774,0.0186324,1.24823,0.464921,0.675642,0.0172411,1.63273,0.144142,0.0178169,0.106604,1.92569,0.304211
105.650793651,0.0648766,0.622256,0.880484,0.41085,0.576589,0.152105,1.82161,0.257681,0.0225285,0.105144,2.34811,0.253419
105.697233560,0.11765,1.42002,0.150384,0.856768,0.157513,0.286934,1.9397,0.534546,0.0297293,0.1344,2.84159,0.197643
105.743673469,0.224858,1.63422,0,1.72811,0.158322,0.127398,1.9276,0.95778,0,0.0478717,2.62379,0.275883
105.790113379,0.0640074,1.95569,0,1.80217,0.204889,0.149788,2.20589,1.55344,0,0,2.2699,0.392864
105.836553288,0.0996202,2.22801,0.000797397,1.6561,0.219464,0.196065,2.04627,1.90681,0,0.0435025,1.99699,0.456004
105.882993197,0.00695543,2.12973,0.00329369,1.56658,0.229399,0.103378,1.83564,1.58256,0.0360052,0.272299,2.18359,0.448176
105.929433107,0.078265,1.84073,0.00111456,1.12717,0.200653,0.194016,1.7389,0.685675,0.0223684,0.335482,2.42546,0.181428
105.975873016,0.212131,1.51626,0.364528,0.7315,0.249641,0.500538,1.19874,0.204139,0.0141985,0.144201,2.47363,0.481012
106.022312925,0.193261,1.01723,0.754124,1.03277,0.0841249,0.528715,1.11679,0.135019,0.0595713,0.174623,2.83961,0.287829
106.068752834,0.100022,0.623885,0.701589,1.66036,0.200294,1.30475,0.637936,0.0309901,0.169191,0.191217,2.87975,0.240448
106.115192744,0.0118497,0.376339,0.164803,2.29578,0.243645,1.66055,0.418504,0.0181788,0.285661,0.28344,2.90326,0.194583
106.161632653,0.00454396,0.133649,0.386554,2.36043,0.00502796,1.4686,0.423668,0.26234,0.366238,0.238533,2.88314,0.247161
106.208072562,0.13179,0.160687,0.702595,1.53607,0.125909,0.413765,1.63074,0.526396,0.466577,0.0630591,2.55967,0.261874
106.254512472,0.220201,0.168086,0.590261,0.714661,0.426574,0.0942866,1.86697,0.803891,0.134728,0,2.56215,0.192575
106.300952381,0.211752,0.0717508,0.430545,1.01611,0.289115,0.0905077,1.77882,0.677859,0.111847,0.0751598,2.08722,0.64955
106.347392290,0.189664,0.282542,0.398293,1.25547,0.142644,0.157648,1.65754,0.262435,0.101063,0.0255396,1.75275,0.808259
106.393832200,0.325193,0.320445,0.272744,0.930627,0.32626,0.242636,1.81259,0.123491,0.0992822,0.0115152,1.88623,0.654902
106.440272109,0.427565,0.0801633,0.116733,0.94365,0.585605,0.277125,1.69984,0.0647709,0.0966036,0.0380863,1.8396,0.796543
106.486712018,0.812546,0.0202837,0.0773446,1.07855,0.719166,0.1275,1.66202,0.0956184,0.0960433,0.0500002,1.58687,0.958799
106.533151927,1.29091,0.00071885,0.0188255,0.830732,0.946333,0.134746,1.737,0.0820253,0.153185,0.0429559,1.2238,1.31856
106.579591837,0.991165,0.682231,0.264386,0.759469,0.852152,0.357803,1.62555,0.0756341,0.470943,0.428304,0.330893,1.15523
106.626031746,0.707757,0.600113,0.37225,0.369565,0.563582,0.278835,1.82863,0.0682281,0.438866,0.522076,0.438221,1.08272
106.672471655,0.647595,0.542538,0.303246,0.336361,0.739317,0.272786,1.73964,0.0790193,0.237638,0.378907,0.888366,1.12131
106.718911565,0.46126,0.284403,0.443442,0.362001,0.757901,0.219931,1.51461,0.0859443,0.165529,0.460756,1.50393,0.890911
106.765351474,0.206156,0.324456,0.111372,0.503314,0.309708,0.465078,1.49142,0.16319,0.107078,0.547968,1.62753,0.477851
106.811791383,0.197922,0.287309,0,0.507368,0.117057,0.512361,1.30503,0.635415,0.0780083,0.460974,1.3112,0.496362
106.858231293,0.827173,0.0875028,0.0405674,0.753189,0.142636,0.383183,1.43064,0.721142,0.0703188,0.713015,0.719729,0.70496
106.904671202,0.89559,0.184441,0.196569,0.890702,0.119513,0.412815,1.56121,0.692826,0.0765042,0.697074,0.417465,1.02046
106.951111111,0.966546,0.240411,0.300401,1.07908,0.0645903,0.227704,1.72846,0.596563,0.0693229,0.448272,0.853672,1.03549
